Kind, Manufacturer, Pattern Name, Pattern Number, Item Number, Description
silver, Wallace Bros, Ashcroft-Gold, n/a, 145436,  STNL,18/8,JAP,KOR,GOLD ACC,STANDARD SIZE
silver, Wallace Bros, Ashford (Stainless), W190, 237861,  STAINLESS
silver, Wallace Bros, Ashleigh (Brass, Stainless), n/a, 413759,  BRASS SCROLL HANDLE,18/10 STAINLESS
silver, Wallace Bros, Ashley (Stainless), n/a, 110436,  STAINLESS, GLOSSY   WALLACE BROS.
silver, Wallace Bros, Astor (Silverplate, 1925, Monograms), 1925, 291352,  SILVERPLATE, 1925, MONOGRAMS
silver, Wallace Bros, Astor (Silverplate,1925,No Monograms), 1925, 110437,  SILVERPLATE, 1925, NO MONOGRAMS
silver, Wallace Bros, Astoria (Silverplate,1898,Monograms), 1898, 287625,  SILVERPLATE, 1898, MONOGRAMS
silver, Wallace Bros, Astoria (Silverplate,1898,No Monograms), 1898, 110438,  SILVERPLATE,1898,NO MONOGRAMS
silver, Wallace Bros, Astra (Stainless), W487, 237848,  STAINLESS,18/10,BANDS,PLUME TIP
silver, Wallace Bros, Astragle, n/a, 277316,  STAINLESS,18/10,OUTLINED EDGE
silver, Wallace Bros, Atalanta (Sterling, 1895, Monograms), 1895, 191087,  STERLING, 1895, MONOGRAMS
silver, Wallace Bros, Atalanta (Sterling, 1895, No Monograms), 1895, 110439,  STERLING, 1895, NO MONOGRAMS
silver, Wallace Bros, Athena (Silverplate, 1916), 1916, 110440,  SILVERPLATE, 1916
silver, Wallace Bros, Athens (Stainless), n/a, 390101,  STAINLESS,18/10,GLOSSY,GREEK KEY TIP
silver, Wallace Bros, Avalon (Silverplate,Holloware), 2833, 110441,  SILVERPLATE         HOLLOWWARE ONLY
silver, Wallace Bros, Baguette (Stainless), n/a, 290619,  STAINLESS,18/10,CENTER RIDGE,ROUND TIP
silver, Wallace Bros, Baguette (Stainless), n/a, 354689,  STAINLESS,18/0,CENTER RIDGE,ROUND TIP
silver, Wallace Bros, Balance(Stainless), n/a, 292293,  STAINLESS,18/10,CHINA
silver, Wallace Bros, Ballet (Stainless), n/a, 110444,  STNLS, SATIN HANDLE,GLOSSY BOWL
silver, Wallace Bros, Barocco (Sterling, 1995), 1995, 110446,  STERLING, 1995, ITALIAN COLLECTION
silver, Wallace Bros, Baroque (Silverplate), n/a, 238581,  SILVERPLATE,FLOWERS,DOTS,SCROLLS
silver, Wallace Bros, Baroque (Silverplate,Hollowware,Newer), n/a, 207418,  SILVERPLATE,HOLLOWWARE ONLY,NEWER
silver, Wallace Bros, Baroque (Silverplate,Hollowware,Older), 123, 127602,  SILVERPLATE,HOLLOWWARE ONLY,OLDER
silver, Wallace Bros, Baroque Gold (Plated Gold Acct Hollwr), n/a, 131962,  SILVERPLATE,GOLDACCENT, HOLLOWWARE ONLY
silver, Wallace Bros, Basketweave (Stainless), n/a, 322860,  STAINLESS
silver, Wallace Bros, Bay Colony (Stainless), n/a, 110442,  STAINLESS,JAPAN,BRANDWARE,GLOSSY
silver, Wallace Bros, Bay Colony Engraved-Was (Stainless), n/a, 110443,  STAINLESS, GLOSSY,  JAPAN 18/8
silver, Wallace Bros, Bead (Silverplate), n/a, 110448,  SILVERPLATE, EPNS, 1A, SHEFFIELD ENGLAND
silver, Wallace Bros, Beauvais (Sterling, 1914), 1914, 110447,  STERLING, 1914
silver, Wallace Bros, Bedford (Silverplate, 1926), 1926, 110450,  SILVERPLATE, 1926, WALLINGFORD
silver, Wallace Bros, Bedford (Stainless), n/a, 298069,  STAINLESS,18/10,FLAT TIP,SATIN FINISH
silver, Wallace Bros, Bentley (Stainless), n/a, 355751,  STAINLESS,18/0,PLAIN,POINTED TIP
silver, Wallace Bros, Berain (Sterling, 1907, Monograms), 1907, 180369,  STERLING, 1907, MONOGRAMS
silver, Wallace Bros, Berain (Sterling, 1907, No Monograms), 1907, 110451,  STERLING, 1907, NO MONOGRAMS
silver, Wallace Bros, Berkshire (Silverplate, 1934), 1934, 110452,  SILVERPLATE, 1934
silver, Wallace Bros, Bessie (Sterling, 1894), 1894, 110453,   STERLING, 1894
